date,1. open,2. high,3. low,4. close,5. volume
2019-08-13 14:01:00,3.295,3.3,3.29,3.295,11648.0
2019-08-13 14:02:00,3.295,3.3,3.29,3.3,9970.0
2019-08-13 14:03:00,3.295,3.3,3.29,3.295,2991.0
2019-08-13 14:04:00,3.3,3.3,3.295,3.295,1909.0
2019-08-13 14:05:00,3.295,3.3,3.295,3.3,2027.0
2019-08-13 14:06:00,3.295,3.3,3.2924,3.3,20640.0
2019-08-13 14:07:00,3.3,3.3,3.3,3.3,446.0
2019-08-13 14:08:00,3.3,3.3,3.295,3.295,400.0
2019-08-13 14:09:00,3.295,3.3,3.29,3.295,8460.0
2019-08-13 14:10:00,3.3,3.3,3.3,3.3,200.0
2019-08-13 14:11:00,3.3,3.3,3.3,3.3,700.0
2019-08-13 14:12:00,3.295,3.3,3.295,3.3,7260.0
2019-08-13 14:13:00,3.295,3.3,3.29,3.295,9320.0
2019-08-13 14:14:00,3.295,3.3,3.295,3.3,3020.0
2019-08-13 14:15:00,3.29,3.3,3.29,3.3,2008.0
2019-08-13 14:16:00,3.295,3.3,3.295,3.3,1420.0
2019-08-13 14:17:00,3.295,3.3,3.295,3.3,11975.0
2019-08-13 14:18:00,3.3,3.3,3.295,3.3,22514.0
2019-08-13 14:19:00,3.3,3.3,3.295,3.3,12850.0
2019-08-13 14:20:00,3.3,3.3,3.295,3.3,8392.0
2019-08-13 14:21:00,3.3,3.3,3.295,3.3,2100.0
2019-08-13 14:22:00,3.3,3.3,3.295,3.3,3600.0
2019-08-13 14:23:00,3.295,3.3,3.295,3.295,4400.0
2019-08-13 14:24:00,3.3,3.3,3.29,3.295,18565.0
2019-08-13 14:25:00,3.3,3.3,3.295,3.3,4100.0
2019-08-13 14:26:00,3.3,3.3,3.295,3.295,400.0
2019-08-13 14:27:00,3.295,3.3,3.29,3.3,3201.0
2019-08-13 14:28:00,3.295,3.3,3.295,3.295,7690.0
2019-08-13 14:29:00,3.295,3.3,3.295,3.295,903.0
2019-08-13 14:30:00,3.3,3.3,3.295,3.3,2500.0
2019-08-13 14:31:00,3.295,3.295,3.28,3.29,160323.0
2019-08-13 14:32:00,3.29,3.29,3.285,3.285,4360.0
2019-08-13 14:33:00,3.29,3.29,3.285,3.29,500.0
2019-08-13 14:34:00,3.2893,3.29,3.2878,3.29,9200.0
2019-08-13 14:35:00,3.285,3.29,3.285,3.285,1100.0
2019-08-13 14:36:00,3.285,3.285,3.285,3.285,5900.0
2019-08-13 14:37:00,3.285,3.285,3.285,3.285,3700.0
2019-08-13 14:38:00,3.285,3.285,3.2825,3.285,20025.0
2019-08-13 14:39:00,3.285,3.285,3.285,3.285,2150.0
2019-08-13 14:40:00,3.29,3.29,3.285,3.285,12940.0
2019-08-13 14:41:00,3.29,3.29,3.29,3.29,500.0
2019-08-13 14:42:00,3.285,3.285,3.285,3.285,7200.0
2019-08-13 14:43:00,3.285,3.285,3.285,3.285,3700.0
2019-08-13 14:44:00,3.285,3.285,3.285,3.285,2200.0
2019-08-13 14:45:00,3.285,3.285,3.285,3.285,1900.0
2019-08-13 14:46:00,3.285,3.29,3.285,3.285,3003.0
2019-08-13 14:47:00,3.285,3.285,3.285,3.285,1007.0
2019-08-13 14:48:00,3.285,3.285,3.285,3.285,700.0
2019-08-13 14:49:00,3.285,3.285,3.285,3.285,3900.0
2019-08-13 14:50:00,3.28,3.285,3.28,3.285,1800.0
2019-08-13 14:51:00,3.285,3.29,3.285,3.285,2351.0
2019-08-13 14:52:00,3.285,3.285,3.285,3.285,700.0
2019-08-13 14:53:00,3.285,3.2895,3.285,3.2895,2000.0
2019-08-13 14:54:00,3.285,3.285,3.28,3.28,400.0
2019-08-13 14:55:00,3.285,3.285,3.285,3.285,4200.0
2019-08-13 14:56:00,3.285,3.285,3.28,3.285,45707.0
2019-08-13 14:57:00,3.285,3.285,3.285,3.285,200.0
2019-08-13 14:58:00,3.285,3.285,3.285,3.285,1000.0
2019-08-13 14:59:00,3.285,3.29,3.285,3.285,3010.0
2019-08-13 15:00:00,3.285,3.285,3.28,3.285,2430.0
2019-08-13 15:01:00,3.285,3.29,3.285,3.285,19270.0
2019-08-13 15:02:00,3.285,3.29,3.28,3.285,8910.0
2019-08-13 15:03:00,3.285,3.29,3.285,3.285,2650.0
2019-08-13 15:04:00,3.285,3.285,3.285,3.285,1370.0
2019-08-13 15:05:00,3.29,3.295,3.285,3.2901,146072.0
2019-08-13 15:06:00,3.28,3.28,3.27,3.28,106304.0
2019-08-13 15:07:00,3.285,3.29,3.285,3.29,301.0
2019-08-13 15:08:00,3.29,3.29,3.285,3.285,6510.0
2019-08-13 15:09:00,3.285,3.285,3.285,3.285,100.0
2019-08-13 15:10:00,3.285,3.285,3.285,3.285,2332.0
2019-08-13 15:12:00,3.285,3.285,3.285,3.285,1400.0
2019-08-13 15:13:00,3.28,3.285,3.28,3.285,300.0
2019-08-13 15:14:00,3.285,3.285,3.28,3.285,10120.0
2019-08-13 15:15:00,3.2844,3.285,3.2844,3.285,3060.0
2019-08-13 15:16:00,3.285,3.285,3.285,3.285,701.0
2019-08-13 15:17:00,3.29,3.29,3.285,3.285,27603.0
2019-08-13 15:18:00,3.28,3.28,3.28,3.28,100.0
2019-08-13 15:19:00,3.285,3.29,3.285,3.285,42596.0
2019-08-13 15:20:00,3.285,3.285,3.285,3.285,200.0
2019-08-13 15:21:00,3.29,3.29,3.29,3.29,2550.0
2019-08-13 15:22:00,3.285,3.29,3.285,3.285,15700.0
2019-08-13 15:24:00,3.285,3.2884,3.285,3.285,905.0
2019-08-13 15:26:00,3.285,3.29,3.28,3.285,22800.0
2019-08-13 15:27:00,3.29,3.29,3.285,3.2889,91130.0
2019-08-13 15:28:00,3.29,3.3,3.285,3.29,139273.0
2019-08-13 15:29:00,3.29,3.29,3.29,3.29,21020.0
2019-08-13 15:30:00,3.29,3.29,3.285,3.29,56450.0
2019-08-13 15:31:00,3.285,3.285,3.28,3.28,22700.0
2019-08-13 15:32:00,3.285,3.285,3.28,3.285,17100.0
2019-08-13 15:33:00,3.285,3.285,3.285,3.285,125.0
2019-08-13 15:34:00,3.28,3.28,3.28,3.28,1300.0
2019-08-13 15:35:00,3.28,3.285,3.28,3.285,620.0
2019-08-13 15:36:00,3.28,3.28,3.28,3.28,1000.0
2019-08-13 15:37:00,3.28,3.28,3.28,3.28,4900.0
2019-08-13 15:38:00,3.28,3.285,3.28,3.28,4330.0
2019-08-13 15:39:00,3.28,3.28,3.28,3.28,2800.0
